"filename", "language", "C++", "YAML", "Dart", "Markdown", "JSON", "HTML", "Swift", "XML", "Java Properties", "Properties", "comment", "blank", "total"
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\domain\models\commerce_profile.dart", "Dart", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 4, 11, 139
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\domain\models\commerce_stats.dart", "Dart", 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 11, 132
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\domain\models\order.dart", "Dart", 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 11, 175
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\domain\models\product.dart", "Dart", 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 7, 132
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\domain\models\products_state.dart", "Dart", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\domain\models\promotion.dart", "Dart", 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 5, 16, 202
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\domain\models\user_profile.dart", "Dart", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 3, 8, 90
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\domain\providers\commerce_profile_provider.dart", "Dart", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 1, 22, 128
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\domain\providers\commerce_profile_provider.g.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 7, 6, 32
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\domain\repositories\commerce_repository.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\domain\repositories\order_repository.dart", "Dart", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 2, 15, 114
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\domain\repositories\product_repository.dart", "Dart", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 18, 150
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\domain\repositories\profile_repository.dart", "Dart", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
